,Name,Class,Boat
4,"ABBOTT, Mrs Rhoda Mary 'Rosa'",3,A
5,"ABELSETH, Miss Kalle (Karen) Marie Kristiane",3,16
6,"ABELSETH, Mr Olaus Jørgensen",3,A
8,"ABELSON, Mrs Anna",2,10
9,"ABRAHAMSSON, Mr August Abraham Johannes",3,15
12,"ABī SA'B, Mrs Sha'nīnah",3,C
14,"ABī-AL-MUNà, Mr Nāsīf Qāsim",3,15
22,"AKS, Master Philip",3,Unknown
23,"AKS, Mrs Leah",3,Unknown
24,"AL-BA'QLīNī, Miss Hilānah",3,C
25,"AL-BA'QLīNī, Miss Mārīyā",3,C
26,"AL-BA'QLīNī, Miss Ūwjīnīyā",3,C
27,"AL-BA'QLīNī, Mrs Laṭīfah",3,C
29,"AL-ZA'INNī, Mr Fahīm Rūḥānā",3,6
35,"ALLEN, Miss Elisabeth Walton",1,2
36,"ALLEN, Mr Ernest Frederick",Crew,B
41,"ALLISON, Master Hudson Trevor",1,11
49,"ANDERSEN-JENSEN, Miss Carla Christine Nielsine",3,16
50,"ANDERSON, Mr Henry",1,3
51,"ANDERSON, Mr John",Crew,3
56,"ANDERSSON, Miss Erna Alexandra",3,Unknown
66,"ANDREWS, Miss Cornelia Theodosia",1,10
68,"ANDREWS, Mr Charles Edward",Crew,16
71,"ANGLE, Mrs Florence Agnes",2,11
72,"APPLETON, Mrs Charlotte",1,2
73,"ARCHER, Mr Ernest Edward",Crew,16
86,"ASPLUND, Master Edvin Rojj Felix",3,15
88,"ASPLUND, Miss Lillian Gertrud",3,15
90,"ASPLUND, Mr Johan Charles",3,13
91,"ASPLUND, Mrs Selma Augusta Emilia",3,15
94,"ASTOR, Mrs Madeleine Talmage",1,4
97,"AUBART, Mme. Léontine Pauline",1,9
100,"AVERY, Mr James Albert",Crew,15
102,"AYYūB-DāHIR, Miss Bannūrah",3,C
105,"BACKSTRöM, Mrs Maria Mathilda",3,Unknown
106,"BADMAN, Miss Emily Louisa",3,C
