,Name,Class,Boat
108,"BAGGOTT, Mr Allen Marden",Crew,9
112,"BAILEY, Mr Henry Joseph",Crew,16
120,"BALL, Mr Percy",Crew,13
121,"BALLS, Mrs Ada E.",2,10
128,"BARBER, Miss Ellen Mary",1,6
136,"BARKWORTH, Mr Algernon Henry",1,B
144,"BARRETT, Mr Frederick William",Crew,13
156,"BASSANI, Mrs Albina",1,8
163,"BAXTER, Mrs Hélène",1,6
166,"BEANE, Mr Edward",2,9
167,"BEANE, Mrs Ethel Louisa",2,9
171,"BEAUCHAMP, Mr George William",Crew,13
174,"BECKER, Master Richard F.",2,11
175,"BECKER, Miss Marion Louise",2,11
176,"BECKER, Miss Ruth Elizabeth",2,13
177,"BECKER, Mrs Nellie E.",2,11
178,"BECKWITH, Mr Richard Leonard",1,5
179,"BECKWITH, Mrs Sarah Maybell",1,5
183,"BEESLEY, Mr Lawrence",2,13
184,"BEHR, Mr Karl Howell",1,5
190,"BENNETT, Mrs Mabel Kate",Crew,5
194,"BENTHAM, Miss Lillian Winifred",2,12
201,"BESSETTE, Miss Nellie Mayo",1,8
206,"BIDOIS, Miss Rosalie",1,4
209,"BING, Mr Lee",3,C
210,"BINSTEAD, Mr Walter William",Crew,3
211,"BIRD, Miss Ellen",1,8
214,"BISHOP, Mr Dickinson H.",1,7
216,"BISHOP, Mrs Helen Margaret",1,7
220,"BJöRNSTRöM-STEFFANSSON, Mr Mauritz Håkan",1,D
230,"BLAKE, Mr Percival Albert",Crew,15
233,"BLANK, Mr Henry",1,7
235,"BLISS, Mrs Emma",Crew,15
244,"BONNELL, Miss Caroline",1,8
245,"BONNELL, Miss Elizabeth",1,8
257,"BOWEN, Miss Grace Scott",1,4
259,"BOWERMAN, Miss Elsie Edith",1,6
260,"BOWKER, Miss Ruth Harwood",Crew,6
262,"BOXHALL, Mr Joseph Groves",Crew,2
267,"BRADLEY, Miss Bridget",3,13
279,"BRERETON, Mr George Andrew",1,9
286,"BRICE, Mr Walter Thomas",Crew,11
289,"BRIDE, Mr Harold Sydney",Crew,B
290,"BRIGHT, Mr Arthur John",Crew,D
300,"BROWN, Miss Amelia Mary",2,11
301,"BROWN, Miss Edith Eileen",2,14
302,"BROWN, Mr Edward",Crew,Unknown
307,"BROWN, Mrs Caroline Lane",1,D
308,"BROWN, Mrs Elizabeth Catherine",2,14
309,"BROWN, Mrs Margaret",1,6
312,"BRYHL, Miss Dagmar Jenny Ingeborg",2,12
315,"BUCKLEY, Mr Daniel",3,13
317,"BUCKNELL, Mrs Emma Eliza",1,8
318,"BULEY, Mr Edward John",Crew,10
322,"BURGESS, Mr Charles",Crew,Unknown
325,"BURKE, Mr William",Crew,Unknown
327,"BURNS, Miss Elizabeth Margaret",1,3
332,"BURRAGE, Mr Arthur Victor Edwards",Crew,13
336,"BUSS, Miss Kate",2,9
345,"BYSTRöM, Mrs Karolina",2,Unknown
351,"CALDERHEAD, Mr Edward Pennington",1,5
353,"CALDWELL, Master Alden Gates",2,13
354,"CALDWELL, Mr Albert Francis",2,13
355,"CALDWELL, Mrs Sylvia Mae",2,13
356,"CAMERON, Miss Clear Annie",2,14
361,"CANDEE, Mrs Helen Churchill",1,6
367,"CARDEZA, Mr Thomas Drake Martinez",1,3
368,"CARDEZA, Mrs Charlotte Wardle",1,3
380,"CARTER, Master William Thornton II",1,4
381,"CARTER, Miss Lucile Polk",1,4
384,"CARTER, Mr William Ernest",1,C
386,"CARTER, Mrs Lucile",1,4
393,"CASSEBEER, Mrs Eleanor Genevieve",1,5
397,"CATON, Miss Annie",Crew,11
400,"CAVELL, Mr George Henry",Crew,15
402,"CAVENDISH, Mrs Julia Florence",1,6
407,"CHAFFEE, Mrs Carrie Constance",1,4
408,"CHAMBERS, Mr Norman Campbell",1,5
409,"CHAMBERS, Mrs Bertha",1,5
412,"CHAPMAN, Mr Joseph Charles",Crew,9
416,"CHAUDANSON, Miss Victorine",1,4
418,"CHERRY, Miss Gladys",1,8
421,"CHEVRé, Mr Paul Romaine Marie Léonce",1,7
422,"CHIBNALL, Mrs Edith Martha Bowerman",1,6
423,"CHIP, Mr Chang",3,C
431,"CHRISTY, Miss Rachel Juli Cohen",2,12
432,"CHRISTY, Mrs Alice Frances",2,12
436,"CLARK, Mr William",Crew,Unknown
437,"CLARK, Mrs Virginia Estelle",1,4
440,"CLARKE, Mrs Ada Maria",2,14
441,"CLEAVER, Miss Alice Catherine",1,11
443,"CLENCH, Mr Frederick Charles",Crew,12
450,"COHEN, Mr Gurshon",3,12
455,"COLGAN, Mr E. Joseph",Crew,Unknown
457,"COLLETT, Mr Sidney Clarence Stuart",2,9
459,"COLLINS, Mr John",Crew,B
460,"COLLINS, Mr John",Crew,1
462,"COLLYER, Miss Marjorie Lottie",2,14
464,"COLLYER, Mrs Charlotte Caroline",2,14
465,"COMBES, Mr George",Crew,3
466,"COMPTON, Miss Sara Rebecca",1,14
468,"COMPTON, Mrs Mary Eliza",1,14
471,"CONNOLLY, Miss Catherine",3,13
479,"COOK, Mrs Selena",2,14
490,"CORNELL, Mrs Malvina Helen",1,2
491,"CORR, Miss Ellen",3,16
498,"COUPER, Mr Robert Frederick William",Crew,3
500,"COUTTS, Master Neville Leslie",3,2
501,"COUTTS, Master William Loch",3,2
502,"COUTTS, Mrs Winnie",3,2
507,"CRAFTER, Mr Frederick Horace",Crew,15
511,"CRAWFORD, Mr Alfred George",Crew,8
514,"CRIBB, Miss Laura Mae",3,12
516,"CRIMMINS, Mr James",Crew,13
521,"CROSBY, Miss Harriette Rebecca",1,Unknown
522,"CROSBY, Mrs Catherine Elizabeth",1,7
528,"CROW, Mr George Frederick",Crew,14
530,"CULLEN, Mr Charles James",Crew,11
534,"CUMINGS, Mrs Florence Briggs",1,4
536,"CUNNINGHAM, Mr Andrew Orr",Crew,4
540,"DAHL, Mr Charles Edward",3,15
543,"DALY, Miss Margaret",3,15
544,"DALY, Mr Eugene Patrick",3,B
545,"DALY, Mr Peter Dennis",1,Unknown
549,"DANIEL, Mr Robert Williams",1,3
550,"DANIELS, Miss Sarah Rebecca",1,8
551,"DANIELS, Mr Sidney Edward",Crew,Unknown
554,"DAVIDSON, Mrs Orian",1,3
555,"DAVIES, Master John Morgan jr",2,14
566,"DAVIES, Mrs Agnes",2,14
567,"DAVIS, Miss Mary Ann Charlotte",2,Unknown
571,"DAVISON, Mrs Mary Elizabeth",3,16
577,"DE MESSEMAEKER, Mr Guillaume Joseph",3,15
578,"DE MESSEMAEKER, Mrs Anna",3,13
579,"DE MULDER, Mr Theodoor",3,11
582,"DEAN, Master Bertram Vere",3,10
583,"DEAN, Miss Elizabeth Gladys Millvina",3,10
586,"DEAN, Mrs Eva Georgetta",3,10
591,"DEL CARLO, Mrs Argene",2,11
603,"DEVANEY, Miss Margaret Bedelia",3,C
605,"DIAPER, Mr John Joseph",Crew,Unknown
607,"DICK, Mr Albert Adrian",1,3
608,"DICK, Mrs Vera",1,3
611,"DILLON, Mr Thomas Patrick",Crew,4
618,"DODGE, Dr Washington",1,13
619,"DODGE, Master Washington",1,5
620,"DODGE, Mrs Ruth",1,5
621,"DOEL, Mr Frederick",Crew,Unknown
624,"DOLING, Miss Elsie",2,Unknown
625,"DOLING, Mrs Ada Julia Elizabeth",2,Unknown
631,"DORE, Mr Albert James",Crew,Unknown
632,"DORKING, Mr Edward Arthur",3,B
636,"DOUGLAS, Mrs Mahala",1,2
637,"DOUGLAS, Mrs Mary Hélène",1,6
640,"DOWDELL, Miss Elizabeth",3,13
644,"DREW, Master Marshall Brines",2,10
646,"DREW, Mrs Maria Louisa Thorne",2,10
647,"DRISCOLL, Miss Bridget",3,D
648,"DROPKIN, Miss Jennie",3,Unknown
649,"DUFF GORDON,  Lucy Christiana, Lady",1,1
650,"DUFF GORDON, Sir Cosmo Edmund",1,1
655,"DUQUEMIN, Mr Joseph Pierre",3,D
656,"DURáN I MONé, Sra. Asuncion",2,12
657,"DURáN I MONé, Sra. Florentina",2,12
664,"DYKER, Mrs Anna Elisabeth Judith",3,16
665,"DYMOND, Mr Frank",Crew,15
669,"EARNSHAW, Mrs Olive",1,7
684,"ELLIS, Mr John Bertie",Crew,2
687,"EMANUEL, Miss Virginia Ethel",3,13
689,"ENDRES, Miss Caroline Louise",1,4
694,"ETCHES, Mr Henry Samuel",Crew,5
696,"EUSTIS, Miss Elizabeth Mussey",1,4
699,"EVANS, Mr Alfred Frank",Crew,15
700,"EVANS, Mr Frank Oliver",Crew,10
712,"FAULKNER, Mr William Stephen",Crew,11
724,"FINOLI, Mr Luigi",3,15
729,"FITZPATRICK, Mr Cecil William",Crew,B
732,"FLAHERTY, Mr Edward",Crew,Unknown
733,"FLEET, Mr Frederick",Crew,6
734,"FLEGENHEIM, Mrs Antoinette",1,7
736,"FLEMING, Miss Margaret",1,4
744,"FLYNN, Mr John Irwin",1,5
745,"FOLEY, Mr John",Crew,Unknown
747,"FOLEY, Mr Wilfred Cyril",Crew,13
749,"FOO, Mr Choong",3,13
763,"FORTUNE, Miss Alice Elizabeth",1,10
764,"FORTUNE, Miss Ethel Flora",1,10
765,"FORTUNE, Miss Mabel Helen",1,10
768,"FORTUNE, Mrs Mary",1,10
769,"FORWARD, Mr James",Crew,16
774,"FRANCATELLI, Miss Laura Mabel",1,1
779,"FRAUENTHAL, Dr Henry William",1,5
780,"FRAUENTHAL, Mr Isaac Gerald",1,5
781,"FRAUENTHAL, Mrs Clara",1,5
782,"FREDERICKS, Mr Walter Francis",Crew,15
786,"FRYER, Mr Albert Ernest",Crew,Unknown
787,"FRöLICHER, Miss Hedwig Margaritha",1,5
788,"FRöLICHER-STEHLI, Mr Maximilian Josef",1,5
789,"FRöLICHER-STEHLI, Mrs Margaretha Emerentia",1,5
792,"FUTRELLE, Mrs Lily May",1,D
799,"GARSIDE, Miss Ethel",2,12
808,"GIBBONS, Mr Jacob William",Crew,11
809,"GIBSON, Miss Dorothy Winifred",1,7
812,"GIBSON, Mrs Pauline Caroline",1,7
813,"GIEGER, Miss Amalie Henriette",1,4
826,"GILNAGH, Miss Kate",3,16
828,"GLYNN, Miss Mary Agatha",3,13
829,"GODLEY, Mr George Auguste",Crew,Unknown
831,"GOLD, Mrs Jane Kate Coulson",Crew,Unknown
832,"GOLDENBERG, Mr Samuel Levi",1,5
833,"GOLDENBERG, Mrs Nella Carlynne",1,5
836,"GOLDSMITH, Master Frank John William",3,C
839,"GOLDSMITH, Mrs Emily Alice",3,C
856,"GRACIE, Colonel Archibald",1,B
858,"GRAHAM, Miss Margaret Edith",1,3
860,"GRAHAM, Mr Thomas Gibson",Crew,Unknown
861,"GRAHAM, Mrs Edith",1,3
865,"GREENFIELD, Mr William Bertram",1,7
866,"GREENFIELD, Mrs Blanche",1,7
869,"GREGSON, Miss Mary Josephine",Crew,16
880,"GUY, Mr Elgar John",Crew,5
885,"HAGGAN, Mr John",Crew,3
888,"HAINES, Mr Albert",Crew,9
890,"HAKKARAINEN, Mrs Elin Matilda",3,15
893,"HALFORD, Mr Richard",Crew,15
909,"HANSEN, Mrs Jennie Louise",3,11
911,"HARDER, Mr George Achilles",1,5
912,"HARDER, Mr William",Crew,14
913,"HARDER, Mrs Dorothy",1,5
915,"HARDWICK, Mr Reginald",Crew,11
916,"HARDY, Mr John",Crew,D
921,"HARPER, Miss Annie Jessie",2,11
922,"HARPER, Mr Henry Sleeper",1,3
923,"HARPER, Mrs Myra Raymond",1,3
931,"HARRIS, Mr Fred",Crew,Unknown
932,"HARRIS, Mr George",2,15
936,"HARRIS, Mrs Irene",1,D
937,"HARRISON, Mr Aragõa Drummond",Crew,9
940,"HART, Miss Eva Miriam",2,14
944,"HART, Mr John Edward",Crew,Unknown
945,"HART, Mrs Emily Esther Louisa",2,14
947,"HARTNELL, Mr Fred",Crew,Unknown
950,"HASSAB, Mr Hammad",1,3
955,"HAWKSFORD, Mr Walter James",1,3
956,"HAYS, Miss Margaret Bechstein",1,7
958,"HAYS, Mrs Clara Jennings",1,3
962,"HEALY, Miss Honor",3,16
963,"HEBB, Mr William Albert Thomas",Crew,B
966,"HEDMAN, Mr Oskar Arvid",3,15
967,"HEE, Mr Ling",3,C
969,"HEIKKINEN, Miss Laina Maria",3,Unknown
972,"HELLSTRöM, Miss Hilda Maria",3,C
973,"HEMMING, Mr Samuel Ernest",Crew,4
975,"HENDRICKSON, Mr Charles Osker",Crew,1
983,"HERMAN, Miss Alice",2,9
984,"HERMAN, Miss Kate",2,9
986,"HERMAN, Mrs Jane",2,9
990,"HEWLETT, Mrs Mary Dunbar",2,13
991,"HICHENS, Mr Robert",Crew,6
1005,"HIPPACH, Miss Gertrude Isabelle",1,4
1006,"HIPPACH, Mrs Ida Sophia",1,4
1007,"HIRVONEN, Miss Hildur Elisabeth",3,15
1008,"HIRVONEN, Mrs Helga Elisabeth Lindqvist",3,15
1011,"HOCKING, Miss Ellen",2,4
1014,"HOCKING, Mrs Eliza",2,4
1020,"HOGEBOOM, Mrs Anna Louisa",1,10
1022,"HOGG, Mr George Alfred",Crew,7
1025,"HOLD, Mrs Annie Margaret",2,10
1037,"HOLVERSON, Mrs Mary Alice",1,8
1038,"HOMER, Mr Harry Haven",1,15
1039,"HONKANEN, Miss Eliina",3,Unknown
1043,"HOPKINS, Mr Robert John",Crew,13
1046,"HORSWILL, Mr Albert Edward James",Crew,1
1049,"HOSONO, Mr Masabumi",2,10
1051,"HOWARD, Miss May Elizabeth",3,C
1055,"HOYT, Mr Frederick Maxfield",1,D
1057,"HOYT, Mrs Jane Anne",1,D
1063,"HUMPHREYS, Mr Sidney",Crew,11
1064,"HUNT, Mr Albert Sylvanus",Crew,C
1068,"HURST, Mr Walter",Crew,B
1072,"HYLAND, Mr Leo James",Crew,11
1073,"HYMAN, Mr Joseph Abraham",3,C
1074,"HäMäLäINEN, Master Viljo Unto Johannes",2,Unknown
1075,"HäMäLäINEN, Mrs Anna Lydia Amanda",2,Unknown
1077,"IBRāHīM, Mrs Sāfiyah",3,C
1079,"ICARD, Miss Rose Amélie",1,6
1081,"ILETT, Miss Bertha",2,Unknown
1090,"ISMAY, Mr Joseph Bruce",1,C
1098,"JACOBSOHN, Mrs Amy Frances Christy",2,12
1101,"JALšEVAC, Mr Ivan",3,15
1107,"JANSSON, Mr Carl Olof",3,A
1120,"JERMYN, Miss Annie Jane",3,D
1121,"JERWAN, Mrs Marie Marthe",2,11
1122,"JESSOP, Miss Violet Constance",Crew,Unknown
1123,"JEWELL, Mr Archie",Crew,7
1125,"JOHANNESEN, Mr Bernt Johannes",3,13
1131,"JOHANSSON, Mr Oscar Wilhelm",3,Unknown
1132,"JOHNSON, Master Harold Theodor",3,15
1133,"JOHNSON, Miss Eleanor Ileen",3,15
1137,"JOHNSON, Mrs Aliina Vilhelmina",3,15
1142,"JOHNSTONE, Mr James",Crew,2
1147,"JONES, Mr Thomas William",Crew,8
1149,"JONSSON, Mr Karl",3,Unknown
1152,"JOUGHIN, Mr Charles John",Crew,B
1153,"JUDD, Mr Charles Edward",Crew,B
1159,"JUSSILA, Mr Eiriik",3,15
1164,"KANTOR, Mrs Miriam",2,12
1166,"KARLSSON, Mr Einar Gervasius",3,13
1170,"KARUN, Miss Manca",3,15
1171,"KARUN, Mr Franz",3,15
1172,"KASPER, Mr F.",Crew,9
1175,"KEANE, Miss Nora Agnes",2,10
1181,"KEEN, Mr Percy Edward",Crew,15
1188,"KELLY, Miss Anna Katherine",3,16
1189,"KELLY, Miss Mary",3,D
1194,"KELLY, Mrs Fanny Maria",2,Unknown
1195,"KEMISH, Mr George",Crew,Unknown
1197,"KENNEDY, Mr John",3,Unknown
1201,"KENYON, Mrs Marion Estelle",1,8
1217,"KIMBALL, Mr Edwin Nelson Jr.",1,5
1218,"KIMBALL, Mrs Susan Gertrude",1,5
1225,"KINK, Mr Anton",3,2
1227,"KINK-HEILMANN, Miss Luise Gretchen",3,2
1228,"KINK-HEILMANN, Mrs Luise",3,2
1241,"KNIGHT, Mr George",Crew,13
1244,"KNOWLES, Mr Thomas",Crew,C
1248,"KREKORIAN, Mr Neshan",3,10
1249,"KREUCHEN, Miss Emilie",1,2
1260,"LAM, Mr Ali",3,C
1263,"LANDERGREN, Miss Aurora Adelia",3,13
1266,"LANG, Mr Fang",3,14
1267,"LAROCHE, Miss Louise",2,14
1268,"LAROCHE, Miss Simonne Marie Anne Andrée",2,14
1270,"LAROCHE, Mrs Juliette Marie Louise",2,14
1274,"LAVINGTON, Miss Elizabeth",Crew,11
1276,"LEADER, Dr Alice May",1,8
1278,"LEATHER, Mrs Elizabeth Mary",Crew,16
1279,"LEE, Mr Henry Reginald",Crew,13
1281,"LEE, Mr Reginald Robinson",Crew,13
1288,"LEHMANN, Miss Bertha",2,12
1290,"LEITCH, Miss Jessie Wills",2,11
1291,"LEMORE, Mrs Amelia",2,14
1298,"LEROY, Miss Berthe",1,2
1300,"LESUEUR, Mr Louis Gustave Joseph",1,3
1302,"LEWIS, Mr Arthur Ernest Read",Crew,15
1310,"LIGHTOLLER, Mr Charles Herbert",Crew,B
1316,"LINDQVIST, Mr Eino William",3,15
1317,"LINDSAY, Mr William Charles",Crew,B
1318,"LINDSTRöM, Mrs Sigrid",1,6
1320,"LINES, Miss Mary Conover",1,9
1321,"LINES, Mrs Elizabeth Lindsey",1,9
1327,"LITTLEJOHN, Mr Alexander James",Crew,13
1338,"LONGLEY, Miss Gretchen Fiske",1,10
1342,"LOUCH, Mrs Alice Adelaide",2,Unknown
1346,"LOWE, Mr Harold Godfrey",Crew,14
1348,"LUCAS, Mr William Arthur",Crew,D
1349,"LUCAS, Mr William Watson",Crew,A
1350,"LULIć, Mr Nikola",3,15
1352,"LUNDIN, Miss Olga Elida",3,10
1353,"LUNDSTRöM, Mr Thure Edvin",3,15
1354,"LURETTE, Miss Eugénie Elise",1,6
1366,"MADIGAN, Miss Margaret",3,15
1367,"MADILL, Miss Georgette Alexandra",1,2
1368,"MADSEN, Mr Fridtjof Arne",3,13
1371,"MAIONI, Miss Roberta Elizabeth Mary",1,8
1373,"MAJOR, Mr William James",Crew,13
1375,"MALLET, Master André Clement",2,10
1377,"MALLET, Mrs Antonine Marie",2,10
1383,"MANNION, Miss Margaret",3,16
1393,"MARSDEN, Miss Evelyn",Crew,16
1395,"MARTIN, Miss Mabel Elvina",Crew,Unknown
1397,"MARTIN, Mrs Annie Martha",Crew,11
1399,"MARVIN, Mrs Mary Graham Carmichael",1,10
1400,"MARéCHAL, Mr Pierre",1,7
1402,"MASON, Mr Frank Archibald Robert",Crew,Unknown
1411,"MAUGé, Mr Paul Achille Maurice Germain",Crew,Unknown
1421,"MAYNARD, Mr Isaac Hiram",Crew,B
1422,"MAYNé, Mlle Berthe Antonine",1,6
1425,"MAYZES, Mr Thomas Jubilee",Crew,3
1434,"MCCARTHY, Miss Catherine",3,16
1437,"MCCARTHY, Mr William",Crew,4
1441,"MCCORMACK, Mr Thomas Joseph",3,Unknown
1442,"MCCOY, Miss Agnes",3,16
1443,"MCCOY, Miss Alice",3,16
1444,"MCCOY, Mr Bernard",3,16
1447,"MCDERMOTT, Miss Bridget Delia",3,13
1455,"MCGANN, Mr James",Crew,Unknown
1467,"MCGOUGH, Mr George Francis 'Paddy'",Crew,Unknown
1468,"MCGOUGH, Mr James Robert",1,7
1469,"MCGOVERN, Miss Mary",3,13
1470,"MCGOWAN, Miss Anna Louise",3,Unknown
1483,"MCINTYRE, Mr William",Crew,Unknown
1485,"MCKAY, Mr Charles Donald",Crew,11
1489,"MCLAREN, Mrs Hypatia",Crew,5
1491,"MCMICKEN, Mr Arthur",Crew,11
1512,"MELLINGER, Miss Violet Madeline",2,14
1513,"MELLINGER, Mrs Elizabeth Anne",2,14
1515,"MELLORS, Mr William John",2,A
1521,"MEYER, Mrs Leila",1,6
1524,"MIDTSJø, Mr Karl Albert",3,15
1534,"MILLS, Mr Christopher",Crew,C
1536,"MINAHAN, Miss Ida Daisy",1,14
1537,"MINAHAN, Mrs Lillian Mae",1,14
1545,"MOCK, Mr Philipp Edmund",1,11
1546,"MOCKLER, Miss Ellen Mary",3,16
1553,"MOOR, Master Meier",3,14
1554,"MOOR, Mrs Beila",3,14
1557,"MOORE, Mr George Alfred",Crew,3
1558,"MOORE, Mr J.",Crew,3
1562,"MORAN, Miss Bridget",3,15
1572,"MORRIS, Mr Frank Herbert",Crew,14
1576,"MOSS, Mr Albert Johan",3,Unknown
1578,"MOUSSA, Mrs Mantoura Boulos",3,Unknown
1581,"MUBāRIK, Master Halīm",3,C
1582,"MUBāRIK, Master Jirjis",3,C
1583,"MUBāRIK, Mrs Amīnah",3,C
1588,"MULLIN, Miss Catherine",3,16
1591,"MULVIHILL, Miss Bridget Elizabeth",3,15
1594,"MURDOCK, Mr William John",Crew,Unknown
1595,"MURPHY, Miss Catherine",3,16
1596,"MURPHY, Miss Margaret",3,16
1597,"MURPHY, Miss Nora",3,16
1599,"MUSLAMāNī, Mrs Fatīmah Muhammad",3,C
1605,"MāMā, Mr Hannā Mikā'īl",3,15
1607,"NAJīB QIYāMAH, Miss Adāl",3,C
1609,"NAKID, Miss Mariayam",3,Unknown
1610,"NAKID, Mr Sa'īd Antūn",3,Unknown
1611,"NAKID, Mrs Wadi'ah",3,Unknown
1619,"NAVRATIL, Master Edmond Roger",2,Unknown
1620,"NAVRATIL, Master Michel Marcel",2,Unknown
1623,"NAṣR ALLāH, Mrs Adāl",2,Unknown
1624,"NAṣR ALLāH, Mrs Zād",3,C
1625,"NEAL, Mr Harold Bentley",Crew,13
1630,"NEWELL, Miss Madeleine",1,6
1631,"NEWELL, Miss Marjorie Anne",1,6
1634,"NEWSOM, Miss Helen Monypeny",1,5
1639,"NICHOLS, Mr Walter Henry",Crew,15
1644,"NILSSON, Miss Berta Olivia",3,D
1645,"NILSSON, Miss Helmina Josefina",3,13
1647,"NISKANEN, Mr Juho",3,9
1657,"NOSS, Mr Henry",Crew,Unknown
1659,"NOURNEY, Mr Alfred",1,7
1660,"NUTBEAN, Mr William",Crew,Unknown
1661,"NYE, Mrs Elizabeth",2,11
1662,"NYSTEN, Miss Anna Sofia",3,13
1664,"NīQūLA YāRID, Master Ilyās",3,C
1665,"NīQūLA YāRID, Miss Jamīlah",3,C
1668,"O'BRIEN, Mrs Hannah",3,Unknown
1670,"O'CONNOR, Mr John",Crew,B
1674,"O'DWYER, Miss Ellen",3,10
1677,"O'KEEFFE, Mr Patrick",3,B
1678,"O'LEARY, Miss Hanora",3,13
1684,"OLIVA Y OCANA, Doña Fermina",1,8
1687,"OLIVER, Mr Harry",Crew,9
1688,"OLLIVER, Mr Alfred John",Crew,5
1689,"OLSEN, Master Artur Karl",3,13
1696,"OMONT, Mr Alfred Fernand",1,7
1704,"OSMAN, Mr Frank",Crew,2
1705,"OSMAN, Mrs Mara",3,Unknown
1707,"OTHEN, Mr Charles Alfred",Crew,Unknown
1711,"OXENHAM, Mr Percy Thomas",2,13
1714,"PADRON MANENT, Mr Julian",2,9
1721,"PALLàS I CASTELLó, Sr. Emili",2,9
1722,"PALMQUIST, Mr Oskar Leander Johansson",3,15
1732,"PARRISH, Mrs Lutie Davis",2,12
1737,"PASCOE, Mr Charles Henry",Crew,8
1748,"PEARCE, Mr John",Crew,Unknown
1749,"PEARCEY, Mr Albert Victor",Crew,Unknown
1751,"PEARS, Mrs Edith",1,8
1756,"PELHAM, Mr George",Crew,16
1767,"PERKIS, Mr Walter John",Crew,4
1770,"PERREAULT, Miss Mary Anne",1,3
1773,"PERRY, Mr Edgar Lionel",Crew,Unknown
1775,"PERSSON, Mr Ernst Ulrik",3,15
1779,"PETERS, Mr William Chapman",Crew,9
1786,"PEUCHEN, Major Arthur Godfrey",1,6
1788,"PEñASCO Y CASTELLANA, Mrs Maria Josefa Perezde Soto y Vallejo",1,8
1789,"PFROPPER, Mr Richard Paul Jozef",Crew,Unknown
1790,"PHILLIMORE, Mr Harold Charles William",Crew,14
1791,"PHILLIPS, Miss Alice Frances Louisa",2,12
1792,"PHILLIPS, Miss Kate Florence",2,11
1801,"PICARD, Mr Benoît",3,9
1804,"PINSKY, Mrs Rosa",2,9
1806,"PITMAN, Mr Herbert John",Crew,5
1811,"PODESTA, Mr Alfred John Alexander",Crew,Unknown
1813,"POINGDESTRE, Mr John Thomas",Crew,12
1817,"PORT, Mr Frank",Crew,Unknown
1818,"PORTALUPPI, Mr Emilio Ilario Giuseppe",2,14
1821,"POTTER, Mrs Lily Alexenia",1,7
1822,"PRANGNELL, Mr George Alexander",Crew,B
1823,"PRENTICE, Mr Frank Winnold",Crew,4
1826,"PRICHARD, Mrs Alice Maud",Crew,11
1828,"PRIEST, Mr Arthur John",Crew,15
1829,"PRIOR, Mr Harold John Arnold",Crew,Unknown
1833,"PUGH, Mr Alfred",Crew,14
1837,"PUSEY, Mr William Robert Holland",Crew,1
1844,"QUICK, Miss Phyllis May",2,11
1845,"QUICK, Miss Winnifred Vera",2,11
1846,"QUICK, Mrs Jane",2,11
1851,"RANGER, Mr Thomas",Crew,4
1855,"RAY, Mr Frederick Dent",Crew,13
1867,"RENOUF, Mrs Lillian",2,Unknown
1871,"REYNALDO, Sra. Encarnación",2,9
1873,"RHEIMS, Mr George Alexander Lucien",1,A
1880,"RICE, Mr Charles John",Crew,10
1886,"RICHARDS, Master Sibley George",2,4
1887,"RICHARDS, Master William Rowe",2,4
1889,"RICHARDS, Mrs Emily",2,4
1893,"RIDSDALE, Miss Lucy",2,Unknown
1899,"RIORDAN, Miss Hannah",3,13
1902,"ROBERT, Mrs Elisabeth Walton",1,2
1907,"ROBERTS, Mrs Mary Kezia",Crew,16
1914,"ROBINSON, Mrs Annie",Crew,11
1921,"ROMAINE, Mr Charles Hallace",1,9
1928,"ROSENBAUM, Miss Edith Louise",1,11
